DESC=4PASS_ERIC_DP,Q1=-0.45,Q2=-0.45,Q3=0.4,Q4=0.44,Q5=1.345,Q6=4,thcommin=45deg,thcommax=135deg,phimin=-45deg,phimax=40deg,beamE=8.59GeV,targetPolPct=0.08015
MagPoleTip,MagCurrent,CoinUncAzz,CoinCorAzz,CoinCorErr,CoinNormRt,LeftUncAzz,LeftCorAzz,LeftCorErr,LeftNormRt,RghtUncAzz,RghtCorAzz,RghtCorErr,RghtNormRt,SimuEvents
0.925,-9.999,0.769239,0.774272,0.000472,0.082047,0.754282,0.749137,0.000319,0.169821,0.754291,0.748810,0.000319,0.169861,374850000
0.940,-9.999,0.768844,0.773824,0.000445,0.092032,0.754668,0.749386,0.000314,0.175263,0.754680,0.749904,0.000314,0.175279,374850000
0.955,-9.999,0.768431,0.773637,0.000423,0.101586,0.754979,0.749735,0.000310,0.180366,0.754994,0.750255,0.000310,0.180398,374850000
0.970,-9.999,0.768016,0.774421,0.000406,0.110653,0.755243,0.750958,0.000306,0.185175,0.755253,0.750953,0.000306,0.185188,374850000
0.985,-9.999,0.767618,0.775832,0.000391,0.119089,0.755459,0.751855,0.000303,0.189501,0.755466,0.751517,0.000303,0.189544,374850000
1.000,-9.999,0.767250,0.776671,0.000379,0.126792,0.755635,0.752712,0.000300,0.193489,0.755635,0.752788,0.000300,0.193519,374850000
1.015,-9.999,0.766950,0.778096,0.000370,0.133364,0.755778,0.753416,0.000298,0.196846,0.755789,0.753419,0.000298,0.196782,374850000
1.030,-9.999,0.766742,0.778927,0.000363,0.138267,0.755897,0.753653,0.000296,0.199327,0.755901,0.753595,0.000296,0.199229,374850000
1.045,-9.999,0.766623,0.778691,0.000360,0.140910,0.755996,0.754147,0.000295,0.200615,0.755994,0.754196,0.000295,0.200489,374850000
1.060,-9.999,0.766573,0.777275,0.000359,0.141786,0.756061,0.753582,0.000295,0.200961,0.756064,0.753440,0.000295,0.200878,374850000
1.075,-9.999,0.766556,0.776803,0.000358,0.141901,0.756138,0.753945,0.000295,0.200821,0.756130,0.753910,0.000295,0.200812,374850000
1.090,-9.999,0.766545,0.776363,0.000358,0.141840,0.756203,0.753380,0.000295,0.200625,0.756196,0.753643,0.000295,0.200646,374850000
1.105,-9.999,0.766542,0.775876,0.000358,0.141701,0.756278,0.753646,0.000295,0.200352,0.756278,0.753821,0.000295,0.200330,374850000
1.120,-9.999,0.766544,0.776183,0.000359,0.141524,0.756378,0.753891,0.000295,0.199953,0.756369,0.753672,0.000295,0.199985,374850000
1.135,-9.999,0.766544,0.776002,0.000359,0.141342,0.756485,0.754378,0.000296,0.199554,0.756473,0.754315,0.000296,0.199584,374850000
1.150,-9.999,0.766543,0.776120,0.000359,0.141150,0.756622,0.754697,0.000296,0.199051,0.756605,0.754599,0.000296,0.199078,374850000
1.165,-9.999,0.766544,0.776298,0.000359,0.140895,0.756783,0.755109,0.000297,0.198396,0.756767,0.754803,0.000297,0.198433,374850000
1.180,-9.999,0.766549,0.775460,0.000360,0.140681,0.756981,0.754710,0.000297,0.197668,0.756966,0.754766,0.000297,0.197703,374850000
1.195,-9.999,0.766551,0.775143,0.000360,0.140384,0.757205,0.755242,0.000298,0.196732,0.757185,0.755196,0.000298,0.196781,374850000
1.210,-9.999,0.766556,0.775958,0.000360,0.140133,0.757463,0.756346,0.000299,0.195710,0.757439,0.756515,0.000299,0.195759,374850000
1.225,-9.999,0.766562,0.775461,0.000361,0.139829,0.757742,0.756664,0.000300,0.194523,0.757720,0.756759,0.000300,0.194562,374850000
1.240,-9.999,0.766568,0.775824,0.000361,0.139445,0.758040,0.758088,0.000302,0.193110,0.758017,0.757923,0.000302,0.193165,374850000
1.255,-9.999,0.766582,0.776534,0.000362,0.139094,0.758371,0.758591,0.000303,0.191596,0.758347,0.758147,0.000303,0.191645,374850000
1.270,-9.999,0.766594,0.775146,0.000362,0.138703,0.758719,0.757892,0.000304,0.189902,0.758700,0.757666,0.000304,0.189922,374850000
1.285,-9.999,0.766607,0.776012,0.000363,0.138293,0.759093,0.759161,0.000306,0.187998,0.759072,0.759091,0.000306,0.188028,374850000
1.300,-9.999,0.766631,0.775158,0.000363,0.137861,0.759492,0.758980,0.000308,0.185937,0.759471,0.759494,0.000308,0.185985,374850000
1.315,-9.999,0.766661,0.776023,0.000364,0.137332,0.759914,0.760762,0.000310,0.183638,0.759902,0.760691,0.000310,0.183642,374850000
1.330,-9.999,0.766706,0.776141,0.000365,0.136801,0.760380,0.761567,0.000313,0.181127,0.760373,0.761860,0.000313,0.181113,374850000
1.345,-9.999,0.766772,0.776944,0.000366,0.136081,0.760886,0.762550,0.000316,0.178286,0.760896,0.762715,0.000316,0.178240,374850000
